instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.1_sigma0.2[0.1, 0.2]--",TG_mu0.1_sigma0.2,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.02339171423080929,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.02548105602346684,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.01830131740972426
"TG_mu0.1_sigma0.2[0.1, 0.2]--",TG_mu0.1_sigma0.2,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.10775517491129226,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.09106090265311531,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.09246169114281297
"TG_mu0.1_sigma0.2[0.1, 0.2]--",TG_mu0.1_sigma0.2,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.5896205601391041,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.6176507947458548,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.5559271098254605
"TG_mu0.1_sigma0.2[0.1, 0.2]--",TG_mu0.1_sigma0.2,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.3616889670994224,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.4001157727152301,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.34075348391738575
"TG_mu0.1_sigma0.2[0.1, 0.2]--",TG_mu0.1_sigma0.2,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.397800888845385,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.365484356790592,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3710309498725755
"TG_mu0.1_sigma0.2[0.2, 0.8]++",TG_mu0.1_sigma0.2,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",++,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.5337268657170579e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.1012226117020406e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",9.737566748222775e-22
"TG_mu0.1_sigma0.2[0.2, 0.8]++",TG_mu0.1_sigma0.2,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",++,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.278480362722331e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.51005973810223e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",5.556260137472609e-22
"TG_mu0.1_sigma0.2[0.2, 0.8]++",TG_mu0.1_sigma0.2,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",++,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.4135325246766441e-22,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.137025996747912e-23,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.5242064279181783e-22
"TG_mu0.1_sigma0.2[0.2, 0.8]++",TG_mu0.1_sigma0.2,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",++,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",8.501734782596198e-23,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",3.832000681974864e-23,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",9.333252731923935e-23
"TG_mu0.1_sigma0.2[0.2, 0.8]++",TG_mu0.1_sigma0.2,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",++,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",5.928855080025895e-23,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",3.930753899391662e-23,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",5.773434912199626e-23
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.371962017472413e-05,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.430162980169e-05,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.957421031792781e-05
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.00040709445605022047,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0004678732226613488,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.000386183410962499
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0032764119450195152,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0025939406206476486,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.003311063238723932
